name,alt_name,ra,dec,vmag,multiple,class,ads,ads_comp,bii,bv_color,bv_uncert,cdec,cdec_1950,cra,cra_1950,dec_1900,dec_1950,dm_cat,dm_num,fk5,glat,glon,hd,hr,ir_flag,lii,m_cnt,m_id,m_mdiff,m_sep,note,par_code,parallax,pmdec,pmra,ra_1900,ra_1950,radvel,radvel_comm,ri_code,ri_color,rotvel,rotvel_comm,rotvel_uncert,sao,spect_code,spect_type,ub_color,ub_uncert,var_id,vmag_code,vmag_uncert,ra_deg,dec_deg,distance_pc,distance_ly,ra_rad,dec_rad,x,y,z,brightness_class,spectral_main
HR 7440,52    Sgr ,19 36 42.41,-24 53 01.0,4.6,,                                            STAR B9,12654.0,,-20.5059,-0.07,,-245301.0,-245945.0,193642.4,193340.2,-25.1,-24.9959,,-2514184.0,736.0,-20.51,14.68,184707.0,7440,,14.6825,,    ,4.5,2.7,*   ,D       ,0.002,-0.021,0.069,292.65542,293.4174,-19.0,V          ,,-0.06,68.0,,,188337.0,          ,B9                ,-0.15,,12191    ,         ,,294.17670833333335,-24.88361111111111,500000.0,1630780.0,5.1343521430957075,-0.43430094367473343,185765.59376963487,-413797.0045795342,-210388.1726058288,Moderate,B
HR 82  ,27Rho And ,00 21 07.30,+37 58 07.0,5.18,,                                         STAR F5III,,,-24.5165,0.42,,375807.0,374129.0,2107.3,1829.1,37.4,37.6914,,,1009.0,-24.52,116.37,1671.0,82,,116.37,,    ,,,    ,        ,0.017,-0.04,0.06,3.96292,4.6211,9.0,           ,,,41.0,,,53828.0,          ,F5III             ,0.05,,         ,         ,,5.2804166666666665,37.968611111111116,58823.5294117647,191856.47058823527,0.09216065671051724,0.6626772762981915,46176.60807731926,4267.756224818154,36189.98115136185,Moderate,F
HR 7882,6Bet Del  ,20 37 33.00,+14 35 43.1,3.63,,                                          STAR F5IV,14073.0,,-15.6505,0.44,,143543.0,142511.0,203733.0,203512.6,14.23333,14.4198,,,,-15.65,58.88,196524.0,7882,,58.8813,5.0,AB  ,1.0,0.6,*   ,        ,0.028,-0.033,0.113,308.21458,308.8026,-23.0,SB1O       ,,0.24,54.0,,,106316.0,          ,F5IV              ,0.08,,         ,         ,,309.3875,14.595305555555557,35714.28571428571,116484.2857142857,5.399830539513956,0.25473613727906463,21931.58881099955,-26711.83258442984,8999.645342360094,Bright,F
HR 2832,          ,07 25 08.30,-13 45 06.8,5.78,,                                           STAR F0V,,,1.0466,0.42,,-134507.0,-133908.0,72508.3,72249.7,-13.55,-13.6523,,,1192.0,1.05,228.99,58461.0,2832,,228.984,,    ,,,    ,        ,0.037,-0.004,-0.204,110.13625,110.7073,7.0,V?         ,,,,,,152840.0,          ,F0V               ,,,         ,         ,,111.28458333333333,-13.751888888888889,27027.027027027027,88150.27027027027,1.942282385876673,-0.24001573947953575,-9529.590198500213,24461.580820117804,-6424.8085068072505,Moderate,F
HR 6510,Alp Ara   ,17 31 50.50,-49 52 34.0,2.95,,                                           STAR B2V,,,-8.8271,-0.17,,-495234.0,-495023.0,173150.5,172758.2,-49.78333,-49.8396,,-4911511.0,651.0,-8.83,340.76,158427.0,6510,,340.755,,    ,8.0,55.6,*   ,        ,0.007,-0.07,-0.031,261.0275,261.9924,0.0,SB         ,,-0.24,298.0,,,228069.0,v         ,B2Vne             ,-0.69,,8999     ,         ,,262.9604166666666,-49.876111111111115,142857.14285714284,465937.1428571428,4.589525073249505,-0.8705023569794164,-11282.809453315367,-91369.21600420284,-109236.1105263439,Bright,B
HR 3263,          ,08 22 44.09,+60 37 52.0,6.41,,                                         STAR K0III,,,34.52,0.97,,603752.0,604729.0,82244.1,81833.0,60.93333,60.7914,,,,34.52,156.2,69976.0,3263,,156.205,,    ,,,    ,        ,0.015,-0.002,0.008,123.58292,124.6375,-6.0,           ,,,,,,14522.0,          ,K0III             ,,,         ,R        ,,125.68370833333333,60.63111111111111,66666.66666666667,217437.33333333334,2.1935945265329013,1.0582125180314064,-19071.548053418464,26556.79909668033,58098.68261010016,Faint,K
HR 6752,70    Oph ,18 05 27.29,+02 29 57.8,4.03,,                                           STAR K0V,11046.0,,11.3667,0.86,,22958.0,22940.0,180527.3,180256.4,2.51667,2.4943,,,,11.38,29.91,165341.0,6752,,29.8928,11.0,AB  ,1.8,1.9,*   ,        ,0.201,-1.093,0.266,270.10042,270.7351,-7.0,SBO        ,,0.46,16.0,,,123107.0,          ,K0V               ,0.54,,         ,         ,,271.3637083333333,2.499388888888889,4975.124378109453,16226.666666666666,4.73619018083824,0.04362256539887383,118.29011462326129,-4968.983686618659,216.95886374848286,Moderate,K
HR 6017,          ,16 11 01.99,-29 24 59.0,5.13,,                                         STAR K3III,,,15.9864,1.12,,-292459.0,-291714.0,161102.0,160754.9,-29.15,-29.2873,,-2912343.0,,15.99,346.81,145250.0,6017,,346.807,,    ,,,    ,        ,0.025,-0.087,-0.093,241.20458,241.9789,-27.0,           ,,,,,,184197.0,          ,K3III             ,1.02,,         ,         ,,242.75829166666665,-29.41638888888889,40000.0,130462.4,4.236931476100046,-0.5134128401581876,-15949.187826811622,-30978.274287680764,-19646.11742361073,Moderate,K
HR 5679,4    Ser  ,15 15 49.10,+00 22 19.9,5.63,,                                           STAR A4V,,,46.2276,0.18,,2220.0,3322.0,151549.1,151315.7,0.73333,0.5562,,,,46.23,1.32,135559.0,5679,,1.3151,,    ,,,    ,        ,0.02,0.015,-0.107,227.68083,228.3155,-12.0,V          ,,,117.0,,,120920.0,          ,A4V               ,0.09,,         ,         ,,228.95458333333332,0.37219444444444444,50000.0,163078.0,3.9960113166984,0.006496018513186673,-32832.160194833064,-37708.669597102096,324.7986413253567,Moderate,A
HR 5926,Xi 2Lup   ,15 56 54.19,-33 57 51.1,5.62,,                                           STAR B9V,,,14.7503,0.05,,-335751.0,-334912.0,155654.2,155342.0,-33.66667,-33.8201,,-3310826.0,,14.75,341.3,142630.0,5926,,341.302,,    ,0.5,10.3,*   ,        ,0.025,-0.039,0.02,237.62625,238.4251,-12.0,           ,,,191.0,,,207145.0,          ,B9V               ,0.06,,         ,         ,,239.22579166666665,-33.964194444444445,40000.0,130462.4,4.175277720273346,-0.5927870208431218,-16974.435678924085,-28504.046136440113,-22346.98832580719,Moderate,B
